Alpha PSD,Beta PSD,Gamma PSD,Theta PSD,Delta PSD,HFD Alpha,HFD Beta
9.051490745443952e-13,4.726436875166183e-13,4.521373488069378e-14,1.8252346654330594e-12,3.578290405957735e-13,1.106535377723775,1.5010944245648075
1.801484246124812e-13,2.0354003754079823e-13,1.916000244358907e-14,2.6308438081625896e-13,8.704967860987011e-13,1.1058735466262393,1.4728439091803762
5.97939227251665e-12,4.856191982262895e-12,1.7134490056196124e-13,4.232708739792658e-12,1.1718219863491139e-11,1.1137452495543998,1.4527568512068
2.386084370984849e-13,3.0000086944512573e-13,3.028494282126694e-14,1.3057322826050653e-12,4.746821363221943e-13,1.1221439861108908,1.536659080760922
2.4563596594253845e-13,2.7237947585661327e-13,2.5282071041844085e-14,3.8522044031505236e-12,3.1815917022089533e-12,1.122199933258443,1.5220087171695924
1.0868275412932131e-12,3.74464687367481e-13,2.4816079289737003e-14,6.179257683142504e-13,1.9907879124168593e-12,1.1135703403103374,1.446431749647996
1.5886773108726868e-13,2.331942176784747e-13,2.0003100267019446e-14,2.3655507945473084e-12,1.1257318410811734e-12,1.119913264525494,1.5217711250163233
4.4354594370719264e-13,2.8155717238887267e-13,1.577320027411936e-14,6.105103986252118e-13,3.030831274061686e-12,1.116615012961739,1.4427811077456787
6.6718022299157716e-12,4.7690803217165e-12,1.545001506106011e-13,4.260445622763164e-12,6.069912535758955e-12,1.1061941790321381,1.43373884061499
5.939061041363011e-13,1.5518483779837808e-12,2.955760396736743e-13,6.673034138703576e-13,9.316584091587416e-13,1.1177591561804958,1.5269747834708163
3.34573685981805e-13,2.4150060570836626e-13,1.7774944686127675e-14,1.7643643845883138e-12,2.6340202251195116e-13,1.1157843307230808,1.4632149295617338
2.7558140506872926e-13,3.0127972388148697e-13,3.085249816818948e-14,2.1032452097692615e-12,6.349199986832086e-13,1.1114527839805923,1.4564688922517974
4.78312835088718e-13,3.8231800152773775e-13,2.1435218695822518e-14,3.51702210501278e-12,3.2293553902161674e-11,1.1142977464257167,1.5097926357989735
6.823850305786314e-13,8.653557962869105e-13,9.065052612475834e-14,2.2991377480532524e-12,3.746798521995051e-12,1.1188481843284093,1.531865496980111
1.5824635703531934e-13,2.1579532667080838e-13,1.6879698949884156e-14,3.0894907714820373e-13,1.0490592127314564e-12,1.1137073159421111,1.5059710694594886
2.0601232954379169e-13,1.992341581792103e-13,1.8688328122796678e-14,2.2414810711866874e-12,6.059086762015631e-12,1.1162880498860315,1.4946721818394375
2.0539344529944365e-13,2.9798228590574616e-13,4.0125689830192163e-14,5.689110188200912e-13,5.328214167530702e-13,1.1150369553237998,1.5476235623266836
4.1919717832081906e-13,6.435468082541375e-13,8.854479852989952e-14,2.1089451277442014e-12,6.123408368055494e-13,1.1172663392441622,1.5484095830609554
2.9377218452332233e-13,1.8667842066601088e-13,9.235766706157113e-15,2.748991243107427e-13,4.0922140433831937e-13,1.114624138219757,1.463231462379047
5.401586120608993e-13,1.109354623570644e-12,2.1541899368857303e-13,3.097113481259154e-12,1.2041871387573956e-12,1.1220113295898513,1.5492522287497617
