Frontal_PSD,Frontal_HFD,Temporal_PSD,Temporal_HFD,Central_PSD,Central_HFD,Parietal_PSD,Parietal_HFD,Occipital_PSD,Occipital_HFD,Auxiliary_PSD,Auxiliary_HFD
4.316009272961636e-12,1.27485183320894,7.210885918660936e-13,1.3334225342199595,1.211593660742407e-12,1.2554711537803707,1.2146375958007247e-12,1.2383682127558573,1.0377875432840234e-12,1.2758729460071905,7.11393089255577e-13,1.4036585694850994
1.7158885181936186e-11,1.3087527337125817,2.1164765370682052e-11,1.361684213718512,1.9897272085604872e-11,1.2748958726785942,3.292338444326597e-11,1.2870339583207748,2.0934203075078818e-11,1.315881509338299,1.1436394409983704e-11,1.4171368300370621
4.081548152152245e-12,1.307332385531307,7.501226790665145e-13,1.4036035847558832,1.1435532416537807e-12,1.281304072042787,1.0402072498814283e-12,1.2780626892523637,1.0811846134716647e-12,1.2753949874928514,1.5050222037148055e-13,1.4598300772137371
7.396713252689629e-12,1.1940425688658294,1.430620768529754e-11,1.265466004991997,1.062016450823055e-11,1.204716684760023,3.0737379816414477e-11,1.1633851055019737,1.5072744438066723e-11,1.1655196947667923,1.9424224526568015e-12,1.331686881178684
4.27082586292687e-11,1.3817653167981625,4.766044884501904e-11,1.443619306522832,6.183468276396453e-11,1.4018144030876314,3.483409980033423e-11,1.3951758525081337,3.086301182845201e-11,1.3928145466492556,3.8794222180236546e-11,1.4746771646971595
1.4034843156061656e-12,1.3921354688671705,6.200637769436686e-13,1.4922581527625096,8.012230727821535e-13,1.4501371914737435,7.2531979924231e-13,1.465395111663092,6.567374955078427e-13,1.4383922468776242,4.3647300643889084e-13,1.5000233813682382
1.120126786497814e-11,1.3947949726094184,8.877271074376496e-13,1.5005708000556726,1.2958680158824755e-12,1.4480731711489545,8.499328075434626e-13,1.4690159310937314,8.023442041394363e-13,1.4270680997643748,3.626795832963646e-13,1.509377047243379
2.6554463717630426e-12,1.3604449071158542,1.9339879431912392e-12,1.3931235303159664,2.4193010884891624e-12,1.3196904460600942,2.7425646619251566e-12,1.2987062767077318,2.6728625828334184e-12,1.2518238540570992,4.5555505609811e-13,1.5478622600963092
1.5812355708964393e-11,1.409746586547816,6.151523931430845e-12,1.4746505675337342,8.285002322288697e-12,1.4236621098715176,4.715542067842888e-12,1.407182262617057,4.437379751280721e-12,1.38636809173897,1.780634921129994e-11,1.561982084762594
1.066031198770665e-11,1.281477997030565,1.0599811488014953e-11,1.2519267577097402,1.0632034561010473e-11,1.2003978129566402,1.0777016586984501e-11,1.186736858846616,1.1156018232076233e-11,1.190907264749654,4.1456816524282765e-11,1.148015783279401
2.0121396652657984e-10,1.2362937008697092,1.9809706285979041e-10,1.1344491980983737,1.984391114082374e-10,1.1022875253541107,1.9827381787635454e-10,1.0995292498405833,2.0005702195338424e-10,1.1269480570625028,2.6022978817357294e-10,1.3246662047622095
4.0760087740329e-11,1.2167353610879879,4.099181036370151e-11,1.2572726338768143,4.100713870141041e-11,1.2188867874997127,4.116894289204375e-11,1.1983105404217078,4.202554540983063e-11,1.1880755403596523,1.623532326509699e-10,1.1674165026794854
8.489849133035774e-12,1.3260976126394601,1.2262894370118735e-12,1.5390041643334098,1.3012052663297105e-12,1.4468913045355407,9.57183297437636e-13,1.4766627833426964,9.381002570123725e-13,1.4280158329091752,3.160138104690934e-13,1.4582749941545732
8.901366327391942e-13,1.3369937433610937,6.359128657620323e-13,1.3694716154491307,9.951483300249666e-13,1.3627049179218182,8.214284672537351e-13,1.3712196109185584,6.054499619986479e-13,1.3565210581854705,1.109743636659368e-12,1.393112579674782
7.911039901667524e-12,1.2861215802328374,1.6291123516911312e-12,1.4258737072065144,1.4345956447569358e-12,1.3797999457687888,1.1223412602273152e-12,1.3867780960886311,8.761234696986688e-13,1.3728652680977658,4.3347567891672637e-13,1.4360892580705624
1.1880726861046701e-11,1.3603107368940126,1.1442699276548396e-11,1.2732990160939872,1.2288821320644246e-11,1.2999325618486957,1.2118199991460991e-11,1.270128570931144,1.1870736410092382e-11,1.2510021452937385,4.167684772916862e-11,1.2293280914725382
4.8381525038570715e-12,1.3215336461748117,6.505857498756466e-11,1.3585781710223277,1.0390968451005303e-11,1.3155002720411861,4.741583705438887e-12,1.3081369206689748,4.746102429275752e-12,1.2930710904933838,1.686361452229216e-11,1.3582163892687964
8.350497624867683e-12,1.2794485274283043,9.48805286848814e-13,1.4081543164799886,1.4402272975504192e-12,1.3825450047861085,1.0641109977738924e-12,1.3848395099364932,8.616684240428531e-13,1.367864346164759,1.2568304716165838e-12,1.3890312027685032
2.427490660354325e-10,1.4335471187664577,2.3680181177056443e-10,1.367175127258954,2.390331799056956e-10,1.3828781566880746,2.3823396629658813e-10,1.3508782910154606,2.377044115654583e-10,1.3281700725179393,9.404200940883571e-11,1.5097178082109368
2.4363296260087376e-11,1.4039530414435475,2.257570839835603e-11,1.3469571339293398,2.7972261122788294e-11,1.3534723835185456,2.6483448832981493e-11,1.3290613238133273,2.1447704801252165e-11,1.2988011011810372,2.3177517692660158e-11,1.3862474182535218
3.544883159570579e-12,1.5379650463002583,9.703898679704584e-13,1.499073418558016,1.2680605299362309e-12,1.4796747786569113,9.616246381215987e-13,1.4189407212221283,8.762887894296357e-13,1.3830853458030528,9.637857760863291e-13,1.4800540273239293
5.327226378704313e-11,1.2353379282638701,4.201425009693857e-11,1.315204189077672,5.829820384911215e-11,1.2782703453248887,4.25348251555868e-11,1.2772880722176163,4.859065882581963e-11,1.282875554403292,4.5150926380640625e-11,1.3970527008353495
6.588017441496795e-12,1.481089418579941,1.5783302897049557e-12,1.4493880423166257,1.6803994933024346e-12,1.4361264522955788,1.682751026969981e-12,1.441854472028535,1.6157683999263997e-12,1.4497500016324285,3.4608686786723466e-13,1.4922914237116682
2.319094570724737e-12,1.4074419333021277,3.1817251931711483e-12,1.448539865495192,2.598318017936621e-12,1.4189824490794634,2.8380940403644477e-12,1.436099341355483,2.789131504482951e-12,1.44212996307669,1.321314395445822e-12,1.3389688938038913
5.771340520091687e-11,1.3604095717621814,1.558056642463995e-12,1.2898593089136625,2.2591798233487706e-12,1.2685158937460195,2.6331366528543256e-12,1.235454484351524,2.134473093772962e-12,1.2328448391444358,9.773079111066254e-13,1.435029587612918
